"underspecified sentence","control sentence","type"
"""The system shall be able to handle 1000 customers logged in concurrently at the same time.""","The system must support simultaneous logins for up to 1000 customers.","semantic imprecision"
"""The system shall be able to retrieve 200 products per second.""","The system must have a product retrieval rate of 200 products per second.","semantic imprecision"
"""The system shall be able to add product to shopping cart in less than 2ms.""","The system must add a product to the shopping cart within 2 milliseconds.","semantic imprecision"
"""The system shall be able to search for a specified product in less than 1 second.""","The system must perform a product search in under 1 second.","semantic imprecision"
"""The system shall be able to email customer and vendor in less than 1 second.""","The system must send an email to customers and vendors within one second.","semantic imprecision"
"""The system shall be able to validate credit card in less than 2 seconds.""","The system must process a credit card validation within a maximum of 2 seconds.","semantic imprecision"
"""The system shall be able to acquire shipping charges in less than 2 seconds.""","The system must calculate shipping charges within 2 seconds.","semantic imprecision"
"""The system shall be able to restore 1000 records per second.""","The system must have a data restoration rate of 1000 records per second.","semantic imprecision"
"""The system will do periodic backups through a live internet connection.""","The system performs regular backups over the internet.","semantic imprecision"
"""The system shall validate credit cards against fraud.""","The system must perform fraud detection on credit card transactions.","semantic imprecision"
"""The system shall encrypt all sensitive information via https.""","The system must encrypt all sensitive data using HTTPS encryption.","lexical ambiguity"
"""The system shall encrypt all customer data in database.""","The system must encrypt all customer data stored in the database.","semantic imprecision"
"""The system shall auto detect IP DOS attacks and block IP automatically.""","The system must automatically detect and block IP addresses that are involved in Denial of Service (DoS) attacks.","semantic imprecision"
"""The system shall detect consecutive failed login attempts.""","The system must identify a sequence of unsuccessful login attempts.","semantic imprecision"
"""The system shall be protected by open source firewall called Firestarter.""","The system must utilize the open-source firewall named Firestarter for its security.","semantic imprecision"
"""The system shall have an availability of 99.99%.""","The system must maintain an uptime of 99.99%.","semantic imprecision"
"""The system shall perform searches via Dijkstra's shortest path algorithm.""","The system must implement Dijkstra's shortest path algorithm for search operations.","semantic imprecision"
"""For returning customers, the system shall validate 'existing' credit card in system after each log in.""","The system must verify the credit card of returning customers upon each login.","syntactic"
"""The system shall automatically compress image files that are too large in size.""","The system must automatically compress image files that exceed the specified maximum size.","semantic imprecision"
"""The system will employ on demand asynchronous loading for faster execution of pages.""","The system will implement on-demand, asynchronous page loading for improved page execution speed.","semantic imprecision"
"""The system shall validate email address existence.""","The system must check if an email address is valid.","lexical ambiguity"
"""The system shall be easy to use.""","The user interface of the system must be user-friendly.","semantic imprecision"
"""The system shall be easy to learn.""","The user interface of the system should be designed to facilitate quick and efficient learning for users.","semantic imprecision"
"""The system shall utilize help bubbles to assist managers, customers, and administrators.""","The system should employ help bubbles to aid managers, customers, and administrators.","semantic imprecision"
"""The system shall employ easy to locate buttons.""","The system must provide buttons that are easily identifiable.","semantic imprecision"
"""The system shall prompt customer with friend easy to read error messages.""","The system should display user-friendly error messages to the customer.","semantic imprecision"
"""The system shall utilize consistent symbols and colors for clear notifications.""","The system must use consistent symbols and colors for all notifications.","semantic imprecision"
"""The system shall utilize interchangeable plugins.""","The system must support the use of interchangeable modules.","semantic imprecision"
"""The system shall be easily updatable for fixes and patches.""","The system must support updates for bug fixes and patches.","semantic imprecision"
"""The system shall create logs of all changes, updates, or fixes that are done to the site.""","The system must maintain a log of all modifications made to the website, including changes, updates, and repairs.","semantic imprecision"
"""The system shall be easy to upgrade.""","The system must be designed to facilitate easy upgrades.","semantic imprecision"
"""The system shall be extremely portable via the usb drive.""","The system must be able to be transferred easily between computers using a USB drive.","semantic imprecision"
"""The system shall be easy to migrate or backed up via another usb drive.""","The system must support migration or backup to another USB drive.","semantic imprecision"
"""The system should be able to run under debug mode.""","The system must support debug mode execution.","semantic imprecision"
"""The system should be able to run test credit card transactions.""","The system must support simulated credit card transactions for testing purposes.","semantic imprecision"
"""The system should be able to run test shipping orders.""","The system must support the execution of test shipping orders.","semantic imprecision"
"""The system should be able to create test environment of weborder system.""","The system must generate a test environment for the weborder system.","semantic imprecision"
"""The system hardware shall be fixed and patched via an internet connection.""","The system shall receive and apply hardware updates and patches over the internet.","semantic imprecision"
"""Yoggie shall coordinate on future enhancement and features with our organization.""","Our organization and Yoggie will collaborate on future enhancements and features.","missing information"
